,se_equities,se_bonds
1983-03-01,0.006036377399903259,0.027153926697786268
1983-04-01,0.08977760976144178,0.03189120854647909
1983-05-01,-0.007862895622140487,0.015008689826816468
1983-06-01,-0.03402030910051246,0.010060371321871875
1983-07-01,0.09028193915166072,0.028172137113067208
1983-08-01,0.08721877979322268,0.013048053296522921
1983-09-01,-0.01785648337797474,-0.012661119920045705
1983-10-01,-0.016061069570969866,0.005971475749996014
1983-11-01,0.07781674964257612,-0.000547681969172098
1983-12-01,-0.041065753858872456,0.032157260141908006
1984-01-01,0.09362813035401985,0.01709676948697947
1984-02-01,-0.019321818915422173,0.02036836388440011
1984-03-01,0.03661207492185192,-0.011237815831172004
1984-04-01,-0.03862763184245899,0.024866006625430037
1984-05-01,-0.08495470419089934,0.02889183938588591
1984-06-01,0.03632497078561725,0.009467758638150636
1984-07-01,0.0007372452549068154,-0.04764694321823815
1984-08-01,-0.015580029426553565,-0.049074943064427945
1984-09-01,-0.05287008213929845,0.038498506657320686
1984-10-01,-0.005751996003299231,0.0611111303973082
1984-11-01,-0.04534206320420475,0.017265267144496832
1984-12-01,0.00976464518956277,0.02078834738876556
1985-01-01,0.05784753842406576,-0.009985467617118493
1985-02-01,-0.020619853115113718,-0.04716024422374099
1985-03-01,-0.01449470873162595,0.036718449188104296
1985-04-01,0.02809893832104149,0.008596156455598747
1985-05-01,-0.05418566441699213,-0.009079230044594766
1985-06-01,-0.01258510101836341,0.015059196872414748
1985-07-01,0.020060251239599314,0.02454473934953061
1985-08-01,-0.0014758221741185684,-9.91625777735372e-06
1985-09-01,0.02120112237995775,0.0014074753668245066
1985-10-01,0.04047249470568226,0.01365779833222125
1985-11-01,0.11381445643483379,0.030079196152781096
1985-12-01,0.08777042771793675,0.037762494759383314
1986-01-01,0.026774386097082603,0.03147873089394171
1986-02-01,0.030355690370215793,0.042102101987037566
1986-03-01,0.1322178318454208,0.05473554000374814
1986-04-01,0.07808271781421738,0.09481968278196318
1986-05-01,0.05847749110610656,-0.027837203173236236
1986-06-01,0.022117149817145076,0.025701615343509898
1986-07-01,0.039697658737757546,0.014707980281306154
1986-08-01,0.02493769804352497,0.0208922656797077
1986-09-01,0.000392686631734529,0.01662974332182121
1986-10-01,0.07934160854661854,0.00962298251827054
1986-11-01,-0.040430008134109685,-0.0478238077257811
1986-12-01,0.0021708062187049126,-0.00207534338144022
1987-01-01,-0.130886518618902,-0.07200457229495805
1987-02-01,0.14517176190982384,0.04275511379234653
1987-03-01,0.04792592669667739,0.030469246844016418
1987-04-01,0.08379382336823804,-0.014985442218270695
1987-05-01,-0.027020536833855746,-0.018093917763369327
1987-06-01,0.023407881522439444,0.03529218457097372
1987-07-01,0.07945356369507062,-0.018765921715591438
1987-08-01,0.032915517172691366,0.004048322489418998
1987-09-01,0.059222252510493734,0.013918110768465164
1987-10-01,-0.1996870336852058,0.03947951502345437
1987-11-01,-0.14751570458833307,-0.010268506390778032
1987-12-01,0.03166013165225556,0.0238442444665532
1988-01-01,0.11908561579418975,0.01634795083337104
1988-02-01,0.025947953517295286,0.030078104404207773
1988-03-01,0.037466033057364845,0.004447042952763658
1988-04-01,0.02879681589880212,-0.01146324266719867
1988-05-01,0.06737498842466128,0.01653845791255426
1988-06-01,-0.005949089062385005,0.021902850607494972
1988-07-01,0.04517606557209164,-0.001725910419786092
1988-08-01,-0.03496170663246978,0.008186809972426268
1988-09-01,0.06143155391125976,0.010170679843420016
1988-10-01,0.04011878690500237,0.026045911012123613
1988-11-01,0.01061363787156,0.015648798284140453
1988-12-01,0.060250661642934356,0.02866179474234576
1989-01-01,0.05565414095415311,0.0300362213630887
1989-02-01,0.015689157080220895,-0.01162413064010992
1989-03-01,0.042529096800214106,-0.004733129365709909
1989-04-01,0.011714722822946166,0.002700431430103123
1989-05-01,0.049950455542000505,0.024762410253207134
1989-06-01,0.03667325779813302,-0.016588867299703214
1989-07-01,0.07109672881885531,0.01732625764330531
1989-08-01,0.038839389788362766,0.02924450830883596
1989-09-01,-0.05780566636087936,-0.0030845379034972753
1989-10-01,-0.061627387488853325,-0.016753142241019203
1989-11-01,-0.022867072660461285,-0.05164339359124137
1989-12-01,0.07320302514587018,-0.00015620969160468068
1990-01-01,-0.01853899212606247,0.0009385942368518307
1990-02-01,-0.04967565307553379,-0.014625647460120739
1990-03-01,-0.020235347054330832,0.01232868665520881
1990-04-01,0.013016727329067779,0.017458971479560992
1990-05-01,0.10614782323554395,0.02610326959046061
1990-06-01,0.04131425245724962,0.03218813790128938
1990-07-01,0.00467579614410174,0.009359058357282013
1990-08-01,-0.12346461720130197,-0.01593427015077209
1990-09-01,-0.21200901328480393,0.008844752367511477
1990-10-01,-0.010279797459691986,0.01639115696794935
1990-11-01,-0.06244852552236768,0.02938404670381667
1990-12-01,0.031052083036602784,0.024719212698412818
1991-01-01,0.1192556627229171,0.043060761300448114
1991-02-01,0.09881145414221093,0.014870359368767794
1991-03-01,0.03734809707537634,0.00397179308294926
1991-04-01,-0.038426120668907604,0.019304272379268017
1991-05-01,0.057157730831093545,0.026882246855030933
1991-06-01,0.03892021927379119,0.014936669467492392
1991-07-01,-0.021182212470824413,-0.0022052220297987812
1991-08-01,-0.018635998036963697,0.01794015177554864
1991-09-01,-0.05410110368369314,0.02862569478402177
1991-10-01,-0.013231181012346327,0.008451738077416504
1991-11-01,-0.06246102418491062,0.003369458051245333
1991-12-01,-0.0404794654236873,0.006091779352282778
1992-01-01,0.06218508776654996,0.031244979685357555
1992-02-01,-0.032387065151118,0.0037333645002395333
1992-03-01,0.06423003756425505,0.00020227619954948928
1992-04-01,-0.006325021917708118,0.00796028138577154
1992-05-01,0.02307361499158156,0.014138881042577323
1992-06-01,-0.07790053857563417,-0.004482723652159293
1992-07-01,-0.05834145411283731,-0.008285235304592242
1992-08-01,-0.09732068302433805,-0.01914320576373918
1992-09-01,-0.1057015240840562,0.0013374353526478533
1992-10-01,0.015558179806234751,0.021984484083297673
1992-11-01,0.28268291300939596,0.0522972567253317
1992-12-01,0.007219805070009411,0.017152886817094704
1993-01-01,-0.02303376340516705,-0.006957830441986834
1993-02-01,0.13208423517440648,0.044926236344357884
1993-03-01,-0.003873556754880436,0.0015692591388711818
1993-04-01,0.028991165704619792,0.011435129291786694
1993-05-01,0.0871665778805959,0.03332523261570852
1993-06-01,-0.02262952392938944,0.014322862990499674
1993-07-01,0.12569107370521349,0.032683702133261106
1993-08-01,0.05471931227644622,0.010197353094005157
1993-09-01,-0.003094809963752887,-0.00796191064057894
1993-10-01,0.11862174246430235,0.026591455094470362
1993-11-01,-0.08737520142941968,0.0006034373081766908
1993-12-01,0.07811625091494401,0.031026161187433177
1994-01-01,0.1477014722864496,0.01673013759444908
1994-02-01,-0.03994048056785704,-0.0182699096026655
1994-03-01,-0.08722554222242573,-0.021594953534108563
1994-04-01,0.06311928467848027,-0.012419781952014208
1994-05-01,-0.0023453923582155145,-0.025514187822114898
1994-06-01,-0.0627338373262819,-0.005474602109768689
1994-07-01,0.06194383426530781,-0.020862360878629804
1994-08-01,-0.0058605084017987474,-0.007813204915195548
1994-09-01,-0.03353198428811821,0.006299736759717733
1994-10-01,0.03503034363021662,0.028756656578232898
1994-11-01,0.03872511278036539,0.007251256333320244
1994-12-01,-0.023477854151443767,0.011548617841084408
1995-01-01,0.017495122645099892,-0.005133396263453105
1995-02-01,0.01281380156998102,0.03387255562215841
